Rule_ID,Domain,Sub_Category,Rule_Name,Rule_Type,Regulatory_Standards_Source,Jurisdiction_Scope,Trigger_Condition,Business_Logic_Threshold,Precedence_Conflict_Resolution,Lifecycle_Phase,Owning_System_Domain_Holon,Source_Document,Notes
TEC-003,HR Technology,Attestation,SOC 2 Security/Confidentiality/Availability Attestation,Structural Invariant,AICPA SOC 2,N/A,Annual audit cycle,"Maintain and renew SOC 2 Type II attestation covering security, confidentiality, and availability trust criteria",N/A,Define/Run,HR Technology Domain Holon,DOC1; DOC2,
TEC-004,HR Technology,Data Privacy,HIPAA Security Rule Compliance,Structural Invariant,HIPAA Security Rule,Federal,"System handles PHI (e.g., benefits data)","Apply required technical safeguards (access control, encryption, audit controls) to PHI systems",N/A,Define,HR Technology Domain Holon,DOC1; DOC2,
TEC-005,HR Technology,Data Governance,Data Classification Rules (PII / PHI / Financial),Structural Invariant,Internal data governance standard,N/A,Any new data field or system onboarded,"Classify data element as PII, PHI, or financial and apply corresponding handling controls",N/A,Define,HR Technology Domain Holon,DOC1; DOC2,
TEC-006,HR Technology,Data Privacy,State Data Privacy Statute Compliance (CCPA/CPRA and equivalents),Obligation,CCPA/CPRA and other state privacy acts,State (varies),Data subject is a resident of a covered state,"Honor statutory consumer rights (access, deletion, opt-out) per applicable state privacy law",Most-protective applicable state statute governs where subject is covered by multiple,Design,HR Technology Domain Holon,DOC1; DOC2,
TEC-007,HR Technology,Access Control,Role-Based Access Control (RBAC) Governance Baseline,Structural Invariant,Internal security architecture (RBAC/ABAC),N/A,Any system access request,Grant access strictly per assigned role and attribute policy baseline,N/A,Design,HR Technology Domain Holon,DOC1; DOC2,
TEC-008,HR Technology,Audit,Immutable Audit Log Structure,Structural Invariant,Internal architecture standard / SOC 2 requirement,N/A,"Any data access, change, or policy decision","Write immutable, URI-traceable audit log entry for every governed transaction",Underpins GOV-022 complete audit traceability,Design,HR Technology Domain Holon,DOC1; DOC3,
TEC-009,HR Technology,Encryption,Automated Encryption Schema,Structural Invariant,Internal security architecture / HIPAA / SOC 2,N/A,Data at rest or in transit within the platform,Apply automated encryption per data classification tier (TEC-005),N/A,Design,HR Technology Domain Holon,DOC1,
TEC-010,HR Technology,Consent,Consent Tracking Module,Business Logic,State privacy statutes / HIPAA,State/Federal (varies),Data subject grants or revokes consent,Record and enforce consent state for downstream data use,N/A,Design,HR Technology Domain Holon,DOC1,
TEC-011,HR Technology,Data Minimization,Data Minimization Algorithm,Business Logic,State privacy statutes / NIST guidance,State/Federal (varies),Data pipeline processes client/employee data,Limit collected/propagated fields to what is strictly necessary for the governed transaction,N/A,Develop,HR Technology Domain Holon,DOC1,
TEC-012,HR Technology,Data Protection,Automated Masking/Tokenization,Structural Invariant,Internal security architecture / PCI-adjacent practice,N/A,Sensitive field displayed/transmitted outside authorized context,"Mask or tokenize sensitive fields (e.g., SSN, bank account) by default",N/A,Develop,HR Technology Domain Holon,DOC1,
TEC-013,HR Technology,Access Control,SSO/MFA Secure Endpoint Enforcement,Structural Invariant,Internal security architecture,N/A,User authenticates to any self-service or admin portal,Require SSO with MFA before granting session access,Referenced explicitly in compiled runtime policy TEC-021 (session.mfa_authenticated == true),Develop,HR Technology Domain Holon,DOC1; DOC3,
TEC-014,HR Technology,Security Controls,NIST 800-53 Security Control Baseline,Structural Invariant,NIST 800-53,Federal (framework),System authorization/onboarding of new component,Apply NIST 800-53 control baseline before granting system authorization,N/A,Deliver,HR Technology Domain Holon,DOC1,
TEC-015,HR Technology,Portal Administration,Self-Service Portal Access & Admin Role Assignment,Business Logic,Internal access governance,N/A,Client admin or employee onboarded to self-service portal,Provision portal access with role assignment consistent with RBAC baseline (TEC-007),N/A,Deliver,HR Technology Domain Holon,DOC1,
TEC-016,HR Technology,Attestation,Continuous SOC 1/SOC 2 Type II Attestation Cycle,Reporting Deadline,AICPA SSAE 18 / SOC 2,N/A,Ongoing (continuous monitoring period),Maintain continuous evidence collection supporting rolling Type II attestation periods,N/A,Run,HR Technology Domain Holon,DOC1,
TEC-017,HR Technology,Security Testing,Vulnerability & Penetration Testing Cadence,Reporting Deadline,Internal security policy / SOC 2 requirement,N/A,"Scheduled testing interval (e.g., annual/periodic)",Execute vulnerability scans and penetration tests; remediate findings per SLA,N/A,Run,HR Technology Domain Holon,DOC1,
TEC-018,HR Technology,Access Control,Periodic Access Review,Business Logic,Internal access governance / SOC 2,N/A,Scheduled review interval or role/employment change,Review and recertify user access entitlements; revoke stale/excess access,N/A,Run,HR Technology Domain Holon,DOC1,
TEC-019,HR Technology,Data Lifecycle,Data Retention & Destruction Schedule,Obligation,State privacy statutes / internal records policy,State/Federal (varies),Data reaches end of statutory or contractual retention period,Execute automated retention/destruction per schedule tied to data classification,N/A,Run,HR Technology Domain Holon,DOC1,
TEC-020,HR Technology,Continuity,Disaster Recovery / Business Continuity (DR/BCP) Audit,Reporting Deadline,Internal BCP policy / SOC 2 availability criteria,N/A,Scheduled DR/BCP test interval,Execute and document DR/BCP test; remediate gaps before next cycle,N/A,Run,HR Technology Domain Holon,DOC1,
TEC-021,HR Technology,Runtime Policy,Compiled Runtime Access Policy - HIPAA PHI Read Rule,Structural Invariant,Compiled from isp-tech:HIPAASecurityShape (HIPAA Security Rule),N/A,API request to READ_PHI action,Default deny; allow only if user.role == BenefitsAdministrator AND user.tenant_id == resource.client_id AND session.mfa_authenticated == true,Default-deny overridden only by the explicit allow conditions listed,Run,HR Technology Domain Holon (OPA/Rego PEP),DOC3,Example Run-Time PEP artifact compiled from Design-Time SHACL shape.
PEO-001,PEO Operational Standards,Federal Certification,IRS Certified PEO (CPEO) Status,Structural Invariant,IRC Section 7705,Federal,PEO transacts client payroll under CPEO status,Maintain CPEO certification to transmit sole-liability relief to clients for federal employment taxes,N/A,Define/Run,Enterprise (L4) / Payroll & Tax Domain Holon,DOC1,
PEO-002,PEO Operational Standards,Federal Certification,CPEO Annual Independent CPA Audit,Reporting Deadline,IRC Section 7705,Federal,Annual CPEO certification cycle,Complete independent CPA audit required to retain CPEO status,N/A,Run,Enterprise (L4),DOC1,
PEO-003,PEO Operational Standards,Federal Certification,CPEO Federal Bonding Requirement,Obligation,IRC Section 7705,Federal,Continuous CPEO status,Maintain federal bond at required coverage level (duplicate control point with PAY-024),N/A,Run,Enterprise (L4),DOC1,
PEO-004,PEO Operational Standards,Industry Accreditation,ESAC Accreditation - Continuous Financial Monitoring,Structural Invariant,Employer Services Assurance Corporation (ESAC),Industry (national),PEO holds ESAC accreditation,Undergo continuous financial monitoring and operational compliance verification,N/A,Run,Enterprise (L4),DOC1,
PEO-005,PEO Operational Standards,Industry Accreditation,ESAC Client Protection Bond Maintenance,Obligation,ESAC,Industry (national),PEO holds ESAC accreditation,Maintain multi-million dollar client protection bond per ESAC requirement,N/A,Run,Enterprise (L4),DOC1,
PEO-006,PEO Operational Standards,Contractual Governance,Client Allocation Matrix - Statutory Responsibility & Liability Division,Structural Invariant,State PEO Licensing Boards / Model PEO Acts,State (varies),New client Master Services Agreement (MSA) executed,Formalize division of statutory responsibilities and liability limits between PEO and client within the MSA,Serves as the authoritative reference for downstream RBAC/tenant-boundary rules (TEC-001),Define,Enterprise (L4),DOC1; DOC2; DOC3,
PEO-007,PEO Operational Standards,State Licensing,State PEO Licensing Board Registration Compliance,Obligation,State PEO licensing statutes,State (varies),PEO operates in a state requiring PEO licensure,Maintain active state PEO license/registration in each required state,N/A,Run,Enterprise (L4),DOC1,
GOV-001,Governance & Architecture,Core Architecture Principle,Definition-Time vs Run-Time Separation,Structural Invariant,Internal Holonic Semantic Governance Architecture standard,N/A - system-wide,Any statutory rule authored or modified,"Author canonical truth once in RDF/OWL/LKIF/SHACL (Definition-Time); compile and execute against OPA/Rego, dbt/SQL, and agentic guardrails (Run-Time)",N/A,Design-Time/Run-Time,Enterprise (L4),DOC3,Foundational principle underlying all other GOV rules.
GOV-002,Governance & Architecture,Enterprise Governance,Enterprise Semantic Governance Council & CoE Oversight,Structural Invariant,Internal governance charter,N/A,Any proposed change to core ontologies/standards,Route change through Enterprise Semantic Governance Council / Center of Excellence for Architecture Review Board (ARB) approval,N/A,Design-Time,L4 Enterprise Hierarchy,DOC3,
GOV-003,Governance & Architecture,Change Management,DEV/STG/PRD Ontology Lifecycle Gate,Structural Invariant,Internal governance charter,N/A,Ontology/rule change proceeds through environments,"Require promotion gate approval at each of DEV, STG, and PRD stages before production activation",N/A,Design-Time,L4 Enterprise Hierarchy,DOC3,
GOV-004,Governance & Architecture,Core Ontology,Core Entity Model Definition,Structural Invariant,Root Core PEO Ontology (isp-core),N/A,Any domain ontology needs a canonical entity reference,"Reference canonical entity types: ClientCompany, Worker, Jurisdiction, EmploymentType, StatutoryStandard",N/A,Design-Time,Enterprise (L4) / isp-core,DOC3,
GOV-005,Governance & Architecture,Ontology Federation,Domain Ontology Federation via owl:imports,Structural Invariant,Federated ontology standard,N/A,"Domain holon ontology (isp-ben, isp-pay, isp-comp, isp-tal, isp-tech) is instantiated",Federate each domain ontology to the root isp-core ontology via polymorphic inheritance and owl:imports,N/A,Design-Time,L2 Domain Holons,DOC3,
GOV-006,Governance & Architecture,Mediation Layer,Persistent Mapping Graph - Correspondence & Anti-Drift Lineage,Structural Invariant,Lateral Mediation Holon (SAML),N/A,"Canonical ontology concept mapped to a physical implementation (dbt, LookML, Neo4j, vector store)","Maintain 6 correspondence types between canonical concepts and physical implementations, monitored by anti-drift lineage agents",N/A,Design-Time,Lateral Mediation Holon,DOC3,
GOV-007,Governance & Architecture,Identity Resolution,Identity & URI Resolution Registry,Structural Invariant,Lateral Mediation Holon (SAML) / ISO 8000,N/A,Cross-silo identifier encountered,Resolve cross-silo identifiers into canonical Enterprise Entity IDs enforcing the ISO 8000 Uniqueness invariant,N/A,Design-Time,Lateral Mediation Holon,DOC3,
GOV-008,Governance & Architecture,Conflict Resolution,Rule Harmonization Engine - Cross-Jurisdiction Conflict Detection,Business Logic,Lateral Mediation Holon (SAML) / internal SPARQL tooling,N/A - applies across all jurisdictions,"Federal, state, and/or local rules conflict for the same obligation (e.g., FLSA exempt salary vs. CA/NY thresholds; federal vs. municipal minimum wage)","Run SPARQL scan across rule graph: SELECT jurisdiction, MAX(threshold) AS effective threshold; flag overlaps before publication",Resolves to the most-stringent/highest-employee-protection rule (GOV-009),Design-Time,Lateral Mediation Holon,DOC3,
GOV-009,Governance & Architecture,Conflict Resolution,Most-Stringent-Rule / Highest-Employee-Protection Precedence Principle,Structural Invariant,Internal statutory precedence doctrine,N/A - applies across all jurisdictions,Two or more applicable statutory rules conflict or overlap for the same fact pattern,Enforce the rule offering the greatest employee protection / highest applicable standard as the effective rule,"This is the governing precedence principle referenced by PAY-002, PAY-026, TEC-006, CMP-006, CMP-019",Design-Time,Lateral Mediation Holon,DOC3,
GOV-010,Governance & Architecture,AI Grounding,RAG Anchor Index - Vector Embedding Grounding,Structural Invariant,Lateral Mediation Holon (SAML),N/A,Unstructured content is embedded for retrieval-augmented generation,Ground vector embeddings against canonical URIs before runtime retrieval and governance filtering,N/A,Design-Time,Lateral Mediation Holon,DOC3,
GOV-011,Governance & Architecture,Request Processing,Requirement Context Bundle (RCB) - 5D Request Decomposition,Business Logic,RDSG Semantic Gateway Protocol,N/A,Inbound transaction request enters the L3 Gateway Holon,"Decompose request into WHO (persona/tenant/target), WHAT (entity/action), WHEN (period/tax year), WHERE (jurisdiction/domain), WHY (intent/mandate) before execution",N/A,Run-Time,L3 Gateway Holon (RDSG),DOC3,Illustrated end-to-end for a CA/federal multi-state gross-to-net payroll run.
GOV-012,Governance & Architecture,Enforcement,Policy Enforcement Points (PEPs),Structural Invariant,RDSG Semantic Gateway Protocol,N/A,"Any compliance-, security-, or risk-relevant transaction","Evaluate transaction against domain-specific PEPs (e.g., Tax & Payroll PEP, Security PEP) before allowing execution",N/A,Run-Time,L3 Gateway Holon (RDSG),DOC3,
GOV-013,Governance & Architecture,Safety Verification,STPA/STAMP Unsafe Control Action (UCA) Verification,Structural Invariant,STPA/STAMP safety methodology,N/A,"System is about to execute an automated control action (e.g., wage disbursement)","Verify no Unsafe Control Action occurs (e.g., negative wage deduction, duplicate disbursement) before directive compilation",N/A,Run-Time,L3 Gateway Holon (RDSG),DOC3,
GOV-014,Governance & Architecture,AI Reliability,Circuit Breaker & MTBH Monitoring,Structural Invariant,RDSG Semantic Gateway Protocol,N/A,AI/agentic component generates output within a governed workflow,Track Mean Time Between Hallucinations (MTBH); trip circuit breaker and isolate fault domain when threshold is breached,N/A,Run-Time,L3 Gateway Holon (RDSG),DOC3,
GOV-015,Governance & Architecture,Human Oversight,Simplex Action Gate - Irreversible/Destructive Action Interception,Structural Invariant,RDSG Semantic Gateway Protocol,N/A,"System attempts an irreversible, destructive, or legally binding action (e.g., large tax remittance, benefits termination)",Halt autonomous execution and require human-in-the-loop authorization before release,N/A,Run-Time,L3 Gateway Holon (RDSG),DOC3,General pattern; specific instances at PAY-028 and GOV-016.
GOV-016,Governance & Architecture,Human Oversight,Simplex Action Gate Threshold - Batch Tax Remittance Example,Threshold,RDSG Semantic Gateway Protocol (illustrative implementation),N/A,"Batch tax total exceeds automated clearance threshold (example: $500,000)",Suspend automated fund disbursement and generate alert for human-in-the-loop authorization,N/A,Run-Time,L3 Gateway Holon (RDSG),DOC3,Concrete example of GOV-015 applied to Payroll & Tax domain.
GOV-017,Governance & Architecture,Rule Representation,LKIF Deontic Norm + SHACL Shape Dual Representation,Structural Invariant,LKIF Core / W3C SHACL,N/A,Any statutory rule is authored as an L1 Knowledge Holon,Represent the rule as a paired LKIF Deontic statement (permission/obligation/prohibition) plus a SHACL structural invariant shape,N/A,Design-Time,L2 Domain Holons (L1 Knowledge Holons),DOC3,Demonstrated via isp-pay:CADailyOvertimeObligation + isp-pay:CADailyTimesheetShape / CADailyOvertimeShape.
GOV-018,Governance & Architecture,Provenance,Provenance & Change Management - ORSD + KGCL Metadata,Structural Invariant,Ontology Requirements Specification Document (ORSD) / Knowledge Graph Change Language (KGCL),N/A,"Any RDF triple is added, changed, or retired","Bind the change to an ORSD and stamp it with KGCL metadata capturing WHO, WHAT, WHEN, WHERE, WHY",N/A,Design-Time,Enterprise (L4) / L2 Domain Holons,DOC3,
GOV-019,Governance & Architecture,Compilation Pipeline,6-Stage SHACL-to-Policy Compilation Pipeline,Business Logic,Internal Rule Projection Agent tooling,N/A,A canonical SHACL/SWRL/LKIF invariant is ready for runtime deployment,"Execute: 1) Shape Parser, 2) Constraint Extractor, 3) Harmonization Check, 4) Target Mapper, 5) Policy Generator, 6) KGCL Version & Publish",Stage 3 (Harmonization Check) applies GOV-008/GOV-009 before proceeding,Design-Time to Run-Time,Lateral Mediation Holon (Rule Projection Agents),DOC3,Walked through end-to-end for isp-pay:CADailyOvertimeShape.
GOV-020,Governance & Architecture,Compilation Pipeline,Dual Runtime Target Compilation,Business Logic,Internal Rule Projection Agent tooling,N/A,Compiled policy is deployed to a runtime engine,Route batch/data-pipeline enforcement to dbt/SQL (Engine A) and real-time API/gateway enforcement to OPA/Rego (Engine B),N/A,Run-Time,L3 Gateway Holon / L2 Domain Holons,DOC3,Example artifacts: dbt SQL check flagging VIOLATION_CA_DAILY_OT_RATE_INVALID; OPA/Rego calculate_overtime_multiplier policy.
GOV-021,Governance & Architecture,AI Governance,AI Agent Guardrails - Compiled JSON Schema Constraints,Structural Invariant,RDSG Semantic Gateway Protocol,N/A,"Employee/client-facing AI virtual assistant answers a question on leave, 401(k) eligibility, or job descriptions",Inject compiled JSON Schema constraints (Step 5 Compiled AI Directive) at the gateway to prevent hallucinated answers,Paired with GOV-014 Circuit Breaker/MTBH monitoring,Run-Time,L3 Gateway Holon (RDSG),DOC3,
GOV-022,Governance & Architecture,Audit Traceability,Complete Audit Traceability via Immutable URI,Structural Invariant,Internal architecture standard,N/A,Any timesheet rejection or calculated wage line item is produced,Attach an immutable URI on every rejected/calculated record linking back to the specific statutory LKIF/SHACL definition that governed it,N/A,Run-Time,L2 Domain Holons / HR Technology Domain Holon,DOC3,Realized technically via TEC-008 immutable audit log.
GOV-023,Governance & Architecture,SSOT Principle,Single Source of Truth (SSOT) Propagation,Structural Invariant,Internal architecture standard,N/A,"A statutory rule changes (e.g., CA or federal overtime law amendment)",Update the single canonical OWL/SHACL triple once; compilation pipeline (GOV-019) automatically propagates the change to all downstream database engines and microservices,N/A,Design-Time to Run-Time,Enterprise (L4) / Lateral Mediation Holon,DOC3,Core value proposition of the entire architecture for this SSOT dashboard.
GOV-024,Governance & Architecture,Performance Principle,Zero Graph Latency Runtime Principle,Structural Invariant,Internal architecture standard,N/A,Any transactional payroll/benefits/compliance operation executes at runtime,"Execute compiled policy (OPA/Rego, dbt/SQL) directly, without invoking live graph reasoning, to achieve sub-millisecond/microsecond evaluation on client records",N/A,Run-Time,L3 Gateway Holon / L2 Domain Holons,DOC3,
